tipus_vi,categoria_vi,aliment,categoria_aliment,cuina,qualitat_maridatge,etiqueta_qualitat,descripcio
Syrah/Shiraz,Red,salsitxa fumada,Barbacoa fumada,Espanyola,2,Pobre,Avaluació heurística del maridatge.
Grenache,Red,taula d'embotits,Aperitiu salat,Francesa,3,Neutral,Avaluació heurística del maridatge.
Madeira,Fortified,pastís de llimona,Postres,Francesa,4,Bo,El vi àcid equilibra el menjar àcid.
Cabernet Sauvignon,Red,xai rostit,Carn vermella,Mexicana,5,Excel·lent,El vi negre tànnic complementa el greix de la carn vermella.
Viognier,White,ànec a la taronja,Aviram,Vietnamita,2,Pobre,Avaluació heurística del maridatge.
Pinot Noir,Red,citrus salad,Acidic,Argentinian,4,Bo,El vi àcid equilibra el menjar àcid.
Albariño,White,oysters,Seafood,Vietnamita,4,Bo,Crisp acidity suits seafood.
Sangiovese,Red,citrus salad,Acidic,Moroccan,4,Bo,El vi àcid equilibra el menjar àcid.
Pinot Noir,Red,cheese platter,Cheese,Italian,3,Neutral,Avaluació heurística del maridatge.
Grüner Veltliner,White,citrus salad,Acidic,American BBQ,4,Bo,El vi àcid equilibra el menjar àcid.
Grenache,Red,bacon burger,Pork,Argentinian,4,Bo,Avaluació heurística del maridatge.
Sangiovese,Red,chicken curry,Aviram,German,2,Pobre,Heavy wine can dominate poultry.
Sauternes,Postres,pastís de llimona,Postres,Espanyola,4,Bo,Acidic wine balances acidic food.; Sweet/sparkling pairs with dessert.
Cava,Sparkling,taula d'embotits,Aperitiu salat,Italian,3,Neutral,Avaluació heurística del maridatge.
Albariño,White,vegetable curry,Vegetarian,German,3,Neutral,Avaluació heurística del maridatge.
Sangiovese,Red,citrus salad,Acidic,American BBQ,4,Bo,El vi àcid equilibra el menjar àcid.
Viognier,White,alfredo pasta,Creamy,German,4,Bo,Richer body matches creamy textures.
Riesling (dry),White,Thai curry,Spicy,Mexicana,3,Neutral,Avaluació heurística del maridatge.
Chardonnay,White,bacon burger,Pork,Vietnamita,2,Pobre,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,xai rostit,Carn vermella,Thai,5,Excel·lent,El vi negre tànnic complementa el greix de la carn vermella.
Chardonnay,White,bacon burger,Pork,Italian,3,Neutral,Avaluació heurística del maridatge.
Viognier,White,roast chicken with herbs,Aviram,Middle Eastern,4,Bo,Lighter wines fit poultry.
Grüner Veltliner,White,shrimp scampi,Seafood,Japanese,3,Neutral,Crisp acidity suits seafood.
Nebbiolo,Red,Thai curry,Spicy,American BBQ,3,Neutral,Avaluació heurística del maridatge.
