nom_estil,tipus,origen,sabors_clau,tecnniques_clau,ingredients_clau,caracteristiques,evita
cuina_molecular,alta_cuina,mundial,neutre|umami|dolç_suau,esferificacio|esferificacio_invertida|gelificacio|espaguetis_de_gel|espuma|emulsio|deconstruccio|encapsulacio|deshidratacio|nitrogen_liquid|infusio_rapida,alginat|lecitina|agar|xantana,experiencial|sorpresa|transformacio,textures_tradicionals|fregits
cuina_minimalista,alta_cuina,nordic,fresc|acid_suau|terros,plating_linia_minimal|puntillisme_salsa|cruixent_fina|contrast_volums|laminat_fi,nabius|herbes_silvestres|peixos_freds|verdures_hivern,puresa_producte|estacionalitat|zero_exces,salses_greixoses|fregits
nouvelle_cuisine,alta_cuina,franca,fresc|lleuger|aromatic,emulsio|espuma|plating_linia_minimal|puntillisme_salsa|reduccio_aromatica_fina|clarificacio_cristal|glacejat_fines_herbes|marinat_herbal_curt|saltat_vif_lleuger,herbes_fresques|fons_clars|verdures_cruixents,lleugeresa|estetica_refinada|producte_al_centre,salses_pesades|coccions_llargues
cuina_clasica_francesa,alta_cuina,franca,ric|umami|mantega,glace_tradicional|roux_lleuger|brasejat_fondant|napar_cla|gratinar_mantega_fina,fons_oscurs|mantega|nata|vi,receptari_classic|sofisticacio|salses_lligades,minimalisme_extrem|presentacions_nues
nova_cuina_nordica,alta_cuina,nordic,acid_suau|terros|vegetal_pur|fumat_lleu,deshidratacio|laminat_fi|cruixent_fina|fermentacio_lactica_suau|fumat_fred_nordic|caramelitzat_negre_nordic|pell_cruixent_natural|marinat_salmurra_suau,herbes_silvestres|arrels|peixos_freds,estacionalitat|km0|puresa|simplicitat,salses_greixoses|excés_sucre
cuina_fusio_contemporania,alta_cuina,mundial,contrast|dolç_salat|picant_suau|acidesa,emulsio|espuma|puntillisme_salsa|deconstruccio|lacat_asiatic_fina|tempering_especies|infusio_aromatica_fusio|vapor_planxa_combina|gelee_dashi_fina,miso|curri|citric|soja|herbes_mediterranies,barreja_cultures|creativitat|equilibri,barreges_caotiques|excés_condiments
cuina_creativa,alta_cuina,mundial,delicat|aromatic|umami_suau,gelificacio|espuma|emulsio|laminat_fi|aire_saboritzat_fi|gel_transparent|caldo_solidificat|microtall_ultrafina|texturitzat_creatiu,brots|essencies|reduccions_clares,innovacio|joc_textures|reinterpretacio,salses_pesades|fregits
cuina_de_mercat,alta_cuina,mediterrani,fresc|herbal|suau,emulsio|contrast_volums|cruixent_fina|rostit_lent|confit_suau|saltat_producte|reductora_herbal|fumet_espress,verdures_estacionals|peixos_mercat|herbes_fresques,estacionalitat|proximitat|producte_central,salses_pesades|espumes_excessives
cuina_japonesa,cultural,japo,umami|salat,yakimono|nimono|mushimono|agemono|tsukemono|dashi|tare|kiritsuke,miso|soja|dashi|alga|gingebre,precisio|equilibri|puresa_sabor,excés_salsa|greixos_pesats|lactis
cuina_coreana,cultural,corea,umami|picant|fermentat,kimchi|jang_fermentation|banchan_pickling|bulgogi|galbi_gui|jigae|jjim|jeon,gochujang|doenjang|ganjang|sesam|all,contrast|fermentats|picant_equilibrat,excés_dolc|salses_pesades|lactis
cuina_xinesa,cultural,xina,umami|salat,wok_chao|bao_steam|hongshao|red_braise|stir_fry_velveting|laquering|smoking_tea|scallion_oil,soja|gingebre|ceba_tendra|vinagre_negre|sesam,wok|foc_alt|capas_sabor,excés_crema|mantega_nata|formatges
cuina_caribenya,cultural,carib,tropical|citric|picant_suau,jerk_dry_rub|jerk_marinade|mojo_marinade|citrus_sour_marinade|rum_glaze_reduction|pineapple_tenderize|coconut_braise|sofrito_base|grill_charcoal|plantain_fry_tostones|rice_peas_pilaf|pickle_escabeche,rom|llima|coco|mango,fresc|color|aromes_calids,excés_salsa_pesada|mantega_nata
cuina_peruana,cultural,peru,citric|fresc|umami,ceviche_classic|tiradito_fi|llet_de_tigre|marinat_curt_aji|saltat_wok_criollo|sofregit_aji_base|emulsion_aji_llima,llima|aji|coriandre|ceba_morada|peix_blanc,acidesa_neta|precisio|contrast|frescura,excés_greix|mantega|salses_pesades
cuina_mexicana,cultural,mexic,mexicana|picant|citric|fumat_lleu,nixtamalitzacio|chile_torrat_i_moldre|marinat_adobo|marinat_mole_base|planxa_comal|brasa_directa|saltejat_sequera|emulsion_xile_llima,chile|llima|coriandre|comi|blat_de_moro,contrast|intensitat_controlada|street_refinat,excés_mantega|salses_franceses
cuina_nord_africana,cultural,nord_africa,citric|especiat|dolc_salat,tempering_especies|rostit_lent|infusio_aromatica_fusio,cumin|canyella|llimona|mel,especies_calides|profunditat|equilibri,excés_crema|minimalisme_extrem
cuina_italiana_tradicional,cultural,italia,italiana|herbal|umami,soffritto_base|reduccio_lenta_sugo|emulsio_oli_formatge|rostit_lent|cocció_pasta_al_dente|mantecatura,alfabrega|tomata|parmesa|oli|all,producte|simplicitat|respecte_tradicio,excés_espuma|deconstruccio_extrema
cuina_tailandesa,cultural,tailandia,picant|citric|tropical,nam_prik|pasta_curry_tradicional|morter_i_pila|saltejat_wok_rapid|curry_estofat|vapor_aromatic|marinat_llima_peix|reduccio_llet_coco,llima|lemongrass|galanga|xili|llet_coco,contrast_sabors|equilibri_dolc_acid_picant|frescor,excés_crema|salses_pesades|mantega
cuina_mediterrania,cultural,mediterrani,citric|herbal|umami,amanit_oli_llima|marinat_herbes|rostit_senzill|planxa_producte|emulsio_senzilla|forn_suau,oli_oliva|llimona|herbes_fresques|verdures|peix_blanc,lleugeresa|producte|equilibri,excés_salsa|fregits_pesats|tecnica_complexa

falta_fumat, mirar_citric, 
